DogName, Count
BELLA,110
SADIE,79
BUDDY,72
MAX,68
BAILEY,67
LUCY,67
DAISY,61
GINGER,58
JACK,57
MOLLY,55
CHARLIE,53
COOPER,50
LILY,49
ROCKY,48
BEAR,47
ROXY,47
ABBY,46
LUNA,46
WILLOW,46
DENALI,45
DUKE,43
KODA,43
MAGGIE,42
KENAI,39
HARLEY,38
LUCKY,38
TOBY,38
RILEY,37
SHADOW,36
JAKE,35
RUBY,34
LADY,33
SOPHIE,32
CHLOE,31
ROSIE,31
DIESEL,30
COCO,29
LOKI,29
LOLA,29
YUKON,28
BANDIT,27
GUS,27
JASPER,27
PEPPER,27
PIPER,26
STELLA,26
TUCKER,26
BLUE,25
LILLY,25
RUGER,25
SAM,25
BUSTER,24
OSCAR,24
PENNY,24
SASHA,24
SCOUT,24
DAKOTA,23
RAVEN,23
ZOE,23
ANNIE,22
BELLE,22
BENTLEY,22
CODY,22
EMMA,22
GRACIE,22
KONA,22
MURPHY,21
RANGER,21
FINN,20
MILO,20
ZOEY,20
KISKA,19
KODIAK,19
OLIVER,19
OTIS,19
WINSTON,19
ZEUS,19
BAXTER,18
CHANCE,18
ELLIE,18
JACKSON,18
MISSY,18
NALA,18
SPARKY,18
DOZER,17
KATIE,17
MIA,17
ANGEL,16
FRANKIE,16
GEORGE,16
JAX,16
LEXI,16
LOUIE,16
MINNIE,16
MOCHA,16
MOOSE,16
ATHENA,15
DEXTER,15
HOLLY,15
IZZY,15
JASMINE,15
LULU,15
MADDIE,15
MARLEY,15
MISTY,15
SUGAR,15
TAZ,15
THOR,15
TITAN,15
CHEWY,14
COCOA,14
COPPER,14
GIZMO,14
HONEY,14
KOBUK,14
ODIN,14
OREO,14
ROSCOE,14
RUSTY,14
SAMPSON,14
SPIKE,14
TEDDY,14
APOLLO,13
BO,13
GUNNER,13
HENRY,13
LEO,13
MCKINLEY,13
OLIVE,13
PEANUT,13
POPPY,13
SAMMY,13
BOO,12
DESHKA,12
HAZEL,12
KAI,12
MAYA,12
MICKEY,12
MILLIE,12
REMY,12
ROXIE,12
SANDY,12
SCOOTER,12
TANK,12
BRODY,11
BRUTUS,11
CALLIE,11
CASH,11
CHENA,11
DALLAS,11
JOEY,11
PORTER,11
PRINCE,11
RIPLEY,11
RIVER,11
RYDER,11
SITKA,11
SNICKERS,11
STORMY,11
TYSON,11
ZIGGY,11
ACE,10
AURORA,10
BOOMER,10
BRUNO,10
CALI,10
HANK,10
HUNTER,10
KING,10
LUKE,10
OAKLEY,10
ODIE,10
OLLIE,10
RUDY,10
SALLY,10
SAMSON,10
SUNNY,10
XENA,10
ZEKE,10
ASPEN,9
ATLAS,9
BABY,9
BEAU,9
BRUCE,9
CHICO,9
DIAMOND,9
DIXIE,9
DUSTY,9
EDDIE,9
HOMER,9
JAZZ,9
JUNO,9
LOGAN,9
MADDY,9
MOJO,9
PHOEBE,9
REX,9
SAMANTHA,9
SARGE,9
SHEBA,9
SNOOPY,9
STAR,9
TRIGGER,9
ALLIE,8
ANGUS,8
BENNY,8
BRISTOL,8
BUBBA,8
CASEY,8
CASSIE,8
CINNAMON,8
COOKIE,8
DELILAH,8
GRIZZLY,8
HANNAH,8
HOPE,8
KAISER,8
KINLEY,8
LAYLA,8
MATTIE,8
MAXIMUS,8
MIDNIGHT,8
NOVA,8
NUGGET,8
ONYX,8
PARKER,8
PRECIOUS,8
PRINCESS,8
RASCAL,8
RIO,8
ROMEO,8
RUFUS,8
SIERRA,8
SIMBA,8
SMOKEY,8
STANLEY,8
SYDNEY,8
TILLY,8
TROOPER,8
WILLIE,8
WINNIE,8
WRIGLEY,8
APRIL,7
ABBEY,7
AMBER,7
BERNIE,7
BETTY,7
BONNIE,7
BUTTERS,7
CHICA,7
COSMO,7
CRICKET,7
DOC,7
DOLLY,7
DRAKE,7
ELSA,7
FOXY,7
GIGI,7
HEIDI,7
JADE,7
JOSIE,7
KAYA,7
KITA,7
KOA,7
MACY,7
NELLIE,7
NIKKI,7
PEARL,7
PENELOPE,7
REMI,7
REMINGTON,7
ROO,7
SARAH,7
SASSY,7
SHELBY,7
TIMBER,7
YUKI,7
ABIGAIL,6
ALICE,6
ALYESKA,6
BODHI,6
BOWSER,6
BRODIE,6
CAESAR,6
CASPER,6
CEDAR,6
CHASE,6
CHEVY,6
COWBOY,6
DAPHNE,6
DASH,6
DAWSON,6
EVA,6
FRITZ,6
GOOSE,6
HERCULES,6
ISABELLA,6
ISIS,6
JESSIE,6
JOE,6
JUNEAU,6
KALI,6
KARMA,6
KIMBER,6
KIRA,6
KOKO,6
LENNY,6
MAISY,6
MASON,6
MISHKA,6
NEMO,6
NINA,6
OLAF,6
RADAR,6
ROCCO,6
ROGUE,6
ROSE,6
ROWDY,6
SCOOBY,6
SCRAPPY,6
SIMON,6
SKYE,6
SOPHIA,6
TIA,6
TINKERBELL,6
TORI,6
TRAPPER,6
TRIXIE,6
WATSON,6
YODA,6
ZORRO,6
ABBIE,5
AJAX,5
ANDY,5
ANNA,5
ARCHIE,5
AUTUMN,5
AXEL,5
BABE,5
BABY GIRL,5
BARKLEY,5
BEN,5
BLAZE,5
BOBBY,5
BOLT,5
BORIS,5
BRADY,5
BRANDY,5
BUCK,5
CAPONE,5
CAPTAIN,5
CHAMP,5
CHINOOK,5
CHIP,5
CLYDE,5
COMET,5
DAX,5
DEUCE,5
DOBBY,5
DUDE,5
DUNCAN,5
DUTCHESS,5
ELLA,5
FANCY,5
FIONA,5
FRODO,5
GEMMA,5
GINNY,5
GRACE,5
GYPSY,5
HARVEY,5
HATCHER,5
IVY,5
JAGER,5
JAXON,5
JOY,5
JUNIOR,5
KIKI,5
KILO,5
KOBE,5
LACEY,5
LEIA,5
LIBERTY,5
MATILDA,5
MERLIN,5
NANOOK,5
NIKO,5
NYX,5
OLIVIA,5
O'MALLEY,5
PANDA,5
PATCH,5
PATCHES,5
PEACHES,5
PIXIE,5
RAIDER,5
RAMBO,5
REBEL,5
SABLE,5
SARA,5
SAWYER,5
SCARLETT,5
SEAMUS,5
SHILOH,5
SONNY,5
TAZLINA,5
TESS,5
TESSA,5
TITUS,5
TUFFY,5
VIOLET,5
WRANGELL,5
ZELDA,5
ADAK,4
ADDIE,4
ALEX,4
ALI,4
ARLO,4
ARYA,4
ATIGUN,4
ATTU,4
AUGGIE,4
AZUL,4
BANJO,4
BAUER,4
BENJI,4
BINGO,4
BOB,4
BODIE,4
BOSTON,4
BROOKS,4
BROWNIE,4
BUTCH,4
BUZZ,4
CEASAR,4
CHAI,4
CHARLOTTE,4
CHESTER,4
CHEWIE,4
CHIEF,4
CHILI,4
CINDER,4
CLEO,4
CLOVER,4
COHO,4
COLBY,4
CORA,4
DAISEY,4
DANTE,4
DIEGO,4
DIGGER,4
DJ,4
DJANGO,4
DOUGLAS,4
DYLAN,4
EASTON,4
ELI,4
ELVIS,4
EMMETT,4
ENZO,4
FELIX,4
FINLEY,4
FRECKLES,4
FRED,4
