Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked
Abbey,Golden Retriever,"(42.38349452, -71.11509749)",42.38349452,-71.11509749
Abbey,Shih Tzu / Bichon Mix,"(42.36844099, -71.08162857)",42.36844099,-71.08162857
Abbie Tingley,Bull Terrier,"(42.38925847, -71.14496021)",42.38925847,-71.14496021
Abby,Boxer,"(42.39164453, -71.14543354)",42.39164453,-71.14543354
Abby,English Spaniel Springer,"(42.38543972, -71.11854298)",42.38543972,-71.11854298
Abby,Basenji,"(42.38903688, -71.13270296)",42.38903688,-71.13270296
Abby,Shepherd Mix,"(42.39538957, -71.14839476)",42.39538957,-71.14839476
Abby,Labrador Retiever,"(42.37451382, -71.13673259)",42.37451382,-71.13673259
Abby,Maltipoo,"(42.37087335, -71.09684057)",42.37087335,-71.09684057
Abby,Labrador Retreiver,"(42.37468709, -71.14141712)",42.37468709,-71.14141712
Abby,Labrador Retriever,"(42.36860141, -71.10483514)",42.36860141,-71.10483514
Abby,Australian Shepherd,"(42.36198731, -71.11241116)",42.36198731,-71.11241116
Abby,Mix,"(42.38018141, -71.12601633)",42.38018141,-71.12601633
Abby,Pug Chihuahua Mix,"(42.39490958, -71.13269813)",42.39490958,-71.13269813
Abby,Labrador Retriever,"(42.38757534, -71.14007078)",42.38757534,-71.14007078
Abby,Labrador Retriever,"(42.35737017, -71.1134261)",42.35737017,-71.1134261
Abby,Terrier Mix,"(42.37946112, -71.15324967)",42.37946112,-71.15324967
Abe,Labrador Retreiver,"(42.39533888, -71.12979565)",42.39533888,-71.12979565
Acadia,Labrador Mix,"(42.38534405, -71.13713524)",42.38534405,-71.13713524
Ace,Labrador Retreiver,"(42.36297333, -71.11372454)",42.36297333,-71.11372454
Ace,Chihuahua,"(42.35629148, -71.10581518)",42.35629148,-71.10581518
Ace,Pug,"(42.37158246, -71.08963127)",42.37158246,-71.08963127
Achilles,Mix,"(42.36706096, -71.10102433)",42.36706096,-71.10102433
Ada,King Charl Cav Span,"(42.36493021, -71.11142328)",42.36493021,-71.11142328
Addie,Golden Retriever,"(42.37860962, -71.12560568)",42.37860962,-71.12560568
Addie,Beagle Lab Mix,"(42.38627909, -71.13115943)",42.38627909,-71.13115943
Addie,Labrador Retriever,"(42.37227816, -71.11239966)",42.37227816,-71.11239966
Addis,Cockerpoo,"(42.35957569, -71.11076942)",42.35957569,-71.11076942
Adelaide,Labradoddle,"(42.37723547, -71.13285723)",42.37723547,-71.13285723
Adelaide,Australian Shepherd,"(42.36979443, -71.09534686)",42.36979443,-71.09534686
Adelaide,Hound Mix,"(42.36909576, -71.08493385)",42.36909576,-71.08493385
Adelaide,Australian Cattle Dog,"(42.38223919, -71.14461692)",42.38223919,-71.14461692
Aegon,Greyhound,"(42.37071824, -71.08701591)",42.37071824,-71.08701591
Agatha,Boxer,"(42.37512618, -71.1552871)",42.37512618,-71.1552871
