Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Abbey,Golden Retriever,"(42.38349452, -71.11509749)",42.38349452,-71.11509749,Agassiz
Abbey,Shih Tzu / Bichon Mix,"(42.36844099, -71.08162857)",42.36844099,-71.08162857,East Cambridge
Abbie Tingley,Bull Terrier,"(42.38925847, -71.14496021)",42.38925847,-71.14496021,Cambridge Highlands
Abby,Boxer,"(42.39164453, -71.14543354)",42.39164453,-71.14543354,Cambridge Highlands
Abby,Terrier Mix,"(42.37946112, -71.15324967)",42.37946112,-71.15324967,Strawberry Hill
Abby,Shepherd Mix,"(42.39538957, -71.14839476)",42.39538957,-71.14839476,North Cambridge
Abby,Labrador Retriever,"(42.38757534, -71.14007078)",42.38757534,-71.14007078,Neighborhood Nine
Abby,Labrador Retiever,"(42.37451382, -71.13673259)",42.37451382,-71.13673259,West Cambridge
Abby,Maltipoo,"(42.37087335, -71.09684057)",42.37087335,-71.09684057,The Port
Abby,Labrador Retriever,"(42.37468709, -71.14141712)",42.37468709,-71.14141712,West Cambridge
Abby,Labrador Retriever,"(42.35737017, -71.1134261)",42.35737017,-71.1134261,Cambridgeport
Abby,English Spaniel Springer,"(42.38543972, -71.11854298)",42.38543972,-71.11854298,Agassiz
Abby,Labrador Retriever,"(42.36860141, -71.10483514)",42.36860141,-71.10483514,Mid-Cambridge
Abby,Pug Chihuahua Mix,"(42.39490958, -71.13269813)",42.39490958,-71.13269813,North Cambridge
Abby,Mix,"(42.38018141, -71.12601633)",42.38018141,-71.12601633,Neighborhood Nine
Abby,Australian Shepherd,"(42.36198731, -71.11241116)",42.36198731,-71.11241116,Cambridgeport
Abby,Basenji,"(42.38903688, -71.13270296)",42.38903688,-71.13270296,Neighborhood Nine
Abe,Labrador Retriever,"(42.39533888, -71.12979565)",42.39533888,-71.12979565,North Cambridge
Acadia,Labrador Mix,"(42.38534405, -71.13713524)",42.38534405,-71.13713524,West Cambridge
Ace,Chihuahua,"(42.35629148, -71.10581518)",42.35629148,-71.10581518,Cambridgeport
Ace,Labrador Retriever,"(42.36297333, -71.11372454)",42.36297333,-71.11372454,Riverside
Ace,Pug,"(42.37158246, -71.08963127)",42.37158246,-71.08963127,Wellington-Harrington
Achilles,Mix,"(42.36706096, -71.10102433)",42.36706096,-71.10102433,The Port
Ada,King Charl Cav Span,"(42.36493021, -71.11142328)",42.36493021,-71.11142328,Riverside
Addie,Golden Retriever,"(42.37860962, -71.12560568)",42.37860962,-71.12560568,West Cambridge
Addie,Beagle Lab Mix,"(42.38627909, -71.13115943)",42.38627909,-71.13115943,Neighborhood Nine
Addie,Labrador Retriever,"(42.37227816, -71.11239966)",42.37227816,-71.11239966,Mid-Cambridge
Addis,Cockerpoo,"(42.35957569, -71.11076942)",42.35957569,-71.11076942,Cambridgeport
Adelaide,Hound Mix,"(42.36909576, -71.08493385)",42.36909576,-71.08493385,East Cambridge
Adelaide,Australian Shepherd,"(42.36979443, -71.09534686)",42.36979443,-71.09534686,Wellington-Harrington
Adelaide,Australian Cattle Dog,"(42.38223919, -71.14461692)",42.38223919,-71.14461692,West Cambridge
Adelaide,Labradoddle,"(42.37723547, -71.13285723)",42.37723547,-71.13285723,West Cambridge
Aegon,Greyhound,"(42.37071824, -71.08701591)",42.37071824,-71.08701591,East Cambridge
Agatha,Boxer,"(42.37512618, -71.1552871)",42.37512618,-71.1552871,NA
Agnes,Pug,"(42.36807569, -71.10475199)",42.36807569,-71.10475199,Mid-Cambridge
Agnes,French Bull Dog,"(42.38155125, -71.14273874)",42.38155125,-71.14273874,West Cambridge
Ainsley,Labrador Retriever,"(42.36676442, -71.11137456)",42.36676442,-71.11137456,Riverside
Ajax,Pointer,"(42.38295536, -71.12284687)",42.38295536,-71.12284687,Neighborhood Nine
Ajax,Poodle,"(42.36856575, -71.08316523)",42.36856575,-71.08316523,East Cambridge
Ajax,Dachshund,"(42.37142905, -71.09806216)",42.37142905,-71.09806216,The Port
Ajax,Labrador Retriever Mix,"(42.38950532, -71.12655806)",42.38950532,-71.12655806,North Cambridge
Aka,Shiba Inu,"(42.38398237, -71.12113389)",42.38398237,-71.12113389,Neighborhood Nine
Akadia,Maltese,"(42.36293447, -71.1050257)",42.36293447,-71.1050257,Cambridgeport
Aki,Bichon Bolognese,"(42.39430094, -71.14771393)",42.39430094,-71.14771393,North Cambridge
Akuma,Puggle,"(42.36922374, -71.08544063)",42.36922374,-71.08544063,East Cambridge
Ala,Teri/Mix,"(42.39317931, -71.13024112)",42.39317931,-71.13024112,North Cambridge
Alaska,Siberian Husky,"(42.38144928, -71.15334129)",42.38144928,-71.15334129,Strawberry Hill
Alba,Labradoddle,"(42.38460237, -71.11902078)",42.38460237,-71.11902078,Agassiz
Albee,Pointer,"(42.36812302, -71.11172479)",42.36812302,-71.11172479,Riverside
Albert,Pug,"(42.39042278, -71.12458604)",42.39042278,-71.12458604,North Cambridge
Albert,Labrador Retriever,"(42.37049959, -71.11968041)",42.37049959,-71.11968041,Riverside
Alby,Shih Tzu,"(42.36808727, -71.1123892)",42.36808727,-71.1123892,Riverside
Alex,Bernese Mountain Dog,"(42.38694861, -71.15968587)",42.38694861,-71.15968587,Strawberry Hill
Alexander,Bichon Frise,"(42.37731889, -71.13984687)",42.37731889,-71.13984687,West Cambridge
Alexis,Labradoar,"(42.36767, -71.10916229)",42.36767,-71.10916229,Mid-Cambridge
Alexis,Labrador Retriever,"(42.36793544, -71.10862514)",42.36793544,-71.10862514,Mid-Cambridge
Alf,Goldendoodle,"(42.3989482, -71.12965078)",42.3989482,-71.12965078,North Cambridge
Alfie,Jack Russel Terrier,"(42.36316059, -71.08291509)",42.36316059,-71.08291509,East Cambridge
Alfie,Golden Retriever,"(42.37403055, -71.13862435)",42.37403055,-71.13862435,West Cambridge
Ali,Chihuahua Mix,"(42.38425082, -71.12823535)",42.38425082,-71.12823535,Neighborhood Nine
Ali,Maltese,"(42.38557753, -71.11588962)",42.38557753,-71.11588962,Agassiz
Ali,Chihuahua,"(42.38597164, -71.12818321)",42.38597164,-71.12818321,Neighborhood Nine
Ali,Bernese Mountain Dog,"(42.38615154, -71.16087865)",42.38615154,-71.16087865,Strawberry Hill
Alice,Pointer Mix,"(42.37428357, -71.13759182)",42.37428357,-71.13759182,West Cambridge
Alice,Labrador Retriever,"(42.38666654, -71.13578359)",42.38666654,-71.13578359,Neighborhood Nine
Alice,Dachshund,"(42.37681697, -71.13420273)",42.37681697,-71.13420273,West Cambridge
Alice,Greyhound,"(42.37277946, -71.10243179)",42.37277946,-71.10243179,Mid-Cambridge
Alice,Lab Shepherd Mix,"(42.36085054, -71.11008461)",42.36085054,-71.11008461,Cambridgeport
Ali Mae,Basenji,"(42.38910487, -71.1221922)",42.38910487,-71.1221922,North Cambridge
Alley,Greyhound,"(42.38552171, -71.12899848)",42.38552171,-71.12899848,Neighborhood Nine
Alli,Australian Shepherd,"(42.38392066, -71.13928765)",42.38392066,-71.13928765,West Cambridge
Allie,Beagle Mix,"(42.36713674, -71.09673774)",42.36713674,-71.09673774,The Port
Allie,Labrador Retriever,"(42.36789591, -71.10559191)",42.36789591,-71.10559191,Mid-Cambridge
Allie,Cockerpoo,"(42.38448213, -71.12358345)",42.38448213,-71.12358345,Neighborhood Nine
Allusha,Italian Greyhould,"(42.3796165, -71.12458502)",42.3796165,-71.12458502,West Cambridge
Ally,Beagle Mix,"(42.37575966, -71.13498079)",42.37575966,-71.13498079,West Cambridge
Alo,German Shepherd,"(42.37156593, -71.09542824)",42.37156593,-71.09542824,Wellington-Harrington
Aloo,Catahoula,"(42.37066281, -71.08984074)",42.37066281,-71.08984074,Wellington-Harrington
Alpine,Lab Mix,"(42.36046471, -71.10654757)",42.36046471,-71.10654757,Cambridgeport
Alvin,Golden Doodle Mix,"(42.38736087, -71.13163629)",42.38736087,-71.13163629,Neighborhood Nine
Alyssa,Labrador Retriever,"(42.38730688, -71.12172723)",42.38730688,-71.12172723,Neighborhood Nine
Amana,Pitbull,"(42.36477714, -71.1110273)",42.36477714,-71.1110273,Riverside
Amie,Chihuahua Mix,"(42.37809669, -71.15086091)",42.37809669,-71.15086091,Strawberry Hill
Amigo,Chihuahua,"(42.37028673, -71.10812676)",42.37028673,-71.10812676,Mid-Cambridge
Amigo,Chihuahua,"(42.37014143, -71.08443378)",42.37014143,-71.08443378,East Cambridge
Amit,Labrador Retriever,"(42.36762085, -71.08236131)",42.36762085,-71.08236131,East Cambridge
