Dog_Name,Dog_Breed,Neighborhood
Abbey,Golden Retriever,Agassiz
Abbey,Shih Tzu / Bichon Mix,East Cambridge
Abbie Tingley,Bull Terrier,Cambridge Highlands
Abby,Boxer,Cambridge Highlands
Abby,Terrier Mix,Strawberry Hill
Abby,Shepherd Mix,North Cambridge
Abby,Labrador Retriever,Neighborhood Nine
Abby,Labrador Retiever,West Cambridge
Abby,Maltipoo,The Port
Abby,Labrador Retriever,West Cambridge
Abby,Labrador Retriever,Cambridgeport
Abby,English Spaniel Springer,Agassiz
Abby,Labrador Retriever,Mid-Cambridge
Abby,Pug Chihuahua Mix,North Cambridge
Abby,Mix,Neighborhood Nine
Abby,Australian Shepherd,Cambridgeport
Abby,Basenji,Neighborhood Nine
Abe,Labrador Retriever,North Cambridge
Acadia,Labrador Mix,West Cambridge
Ace,Chihuahua,Cambridgeport
Ace,Labrador Retriever,Riverside
Ace,Pug,Wellington-Harrington
Achilles,Mix,The Port
Ada,King Charl Cav Span,Riverside
Addie,Golden Retriever,West Cambridge
Addie,Beagle Lab Mix,Neighborhood Nine
Addie,Labrador Retriever,Mid-Cambridge
Addis,Cockerpoo,Cambridgeport
Adelaide,Hound Mix,East Cambridge
Adelaide,Australian Shepherd,Wellington-Harrington
Adelaide,Australian Cattle Dog,West Cambridge
Adelaide,Labradoddle,West Cambridge
Aegon,Greyhound,East Cambridge
Agatha,Boxer,NA
Agnes,Pug,Mid-Cambridge
Agnes,French Bull Dog,West Cambridge
Ainsley,Labrador Retriever,Riverside
Ajax,Pointer,Neighborhood Nine
Ajax,Poodle,East Cambridge
Ajax,Dachshund,The Port
Ajax,Labrador Retriever Mix,North Cambridge
Aka,Shiba Inu,Neighborhood Nine
Akadia,Maltese,Cambridgeport
Aki,Bichon Bolognese,North Cambridge
Akuma,Puggle,East Cambridge
Ala,Teri/Mix,North Cambridge
Alaska,Siberian Husky,Strawberry Hill
Alba,Labradoddle,Agassiz
Albee,Pointer,Riverside
Albert,Pug,North Cambridge
Albert,Labrador Retriever,Riverside
Alby,Shih Tzu,Riverside
Alex,Bernese Mountain Dog,Strawberry Hill
Alexander,Bichon Frise,West Cambridge
Alexis,Labradoar,Mid-Cambridge
Alexis,Labrador Retriever,Mid-Cambridge
Alf,Goldendoodle,North Cambridge
Alfie,Jack Russel Terrier,East Cambridge
Alfie,Golden Retriever,West Cambridge
Ali,Chihuahua Mix,Neighborhood Nine
Ali,Maltese,Agassiz
Ali,Chihuahua,Neighborhood Nine
Ali,Bernese Mountain Dog,Strawberry Hill
Alice,Pointer Mix,West Cambridge
Alice,Labrador Retriever,Neighborhood Nine
Alice,Dachshund,West Cambridge
Alice,Greyhound,Mid-Cambridge
Alice,Lab Shepherd Mix,Cambridgeport
Ali Mae,Basenji,North Cambridge
Alley,Greyhound,Neighborhood Nine
Alli,Australian Shepherd,West Cambridge
Allie,Beagle Mix,The Port
Allie,Labrador Retriever,Mid-Cambridge
Allie,Cockerpoo,Neighborhood Nine
Allusha,Italian Greyhould,West Cambridge
Ally,Beagle Mix,West Cambridge
Alo,German Shepherd,Wellington-Harrington
Aloo,Catahoula,Wellington-Harrington
Alpine,Lab Mix,Cambridgeport
Alvin,Golden Doodle Mix,Neighborhood Nine
Alyssa,Labrador Retriever,Neighborhood Nine
Amana,Pitbull,Riverside
Amie,Chihuahua Mix,Strawberry Hill
Amigo,Chihuahua,Mid-Cambridge
Amigo,Chihuahua,East Cambridge
Amit,Labrador Retriever,East Cambridge
Amos,Lakeland Terrier,Neighborhood Nine
Amy,Golden Retriever,East Cambridge
Ana Ekaterina,Aus Cat Mix,East Cambridge
Ana Luzia,Golden Retriever,Neighborhood Nine
Andre,Toy Poodle,Cambridgeport
Andy,Bichon Frise,East Cambridge
Andy,Corgi,Agassiz
Angel,Pit Bull Mix,Cambridgeport
Angel,Terrier Mix,Neighborhood Nine
Angel,Pit Bull,North Cambridge
Angie,Basenji,East Cambridge
Angus,West Highland White Terrier,Neighborhood Nine
Angus,Havanese,Agassiz
Angus,Border Collie,East Cambridge
Anita,Beagle,Wellington-Harrington
Anna,Chinook,Cambridge Highlands
Anna,Yorksire Terrier,North Cambridge
Anna,Chihuahua,The Port
Annabelle,Boxer,Mid-Cambridge
Annabelle,Labrador Retriever Mix,Neighborhood Nine
Annie,West Highland White Terrier,The Port
Annie,Pit Bull,Riverside
Annie,Terrier,North Cambridge
Annie,Husky / Mix,Cambridgeport
Annie,Corgi,North Cambridge
Annie,Dachshund,North Cambridge
Annie,Terrier,Riverside
Annie,Mixed,North Cambridge
Annie,Border Collie,Neighborhood Nine
Annie,Coonhound,West Cambridge
Annie,Pug,Riverside
Annie,Chihuahua Mix,Cambridgeport
Annie,Labrador Retriever,Cambridgeport
Annie,Rat Terr,Cambridgeport
Annie,Pit Bull,North Cambridge
Annie/Hildegaard,Dachshund,North Cambridge
Annika,German Shepherd,West Cambridge
Anubis,Poodle,North Cambridge
Anvik,Alaskan Malamute,West Cambridge
Anzu,Labrador Retriever,Mid-Cambridge
Apache,Terrier,West Cambridge
Apollo,Pit Bull Terrier Mix,Neighborhood Nine
Apollo,Labradoddle,West Cambridge
Apollo,Golden Retriever,West Cambridge
Apollo,Pitbull Terrier Mix,Neighborhood Nine
Appah,Puli,East Cambridge
Apu,Australian Terrier,Neighborhood Nine
Archibald,Havanese Mix,Area 2/MIT
Archie,Newfoundland,Cambridgeport
Archie,Welsh Terrier,Cambridgeport
Archie,English Shepherd,West Cambridge
Archie,Dachshund,Agassiz
Archie,Golden Retriever,Cambridge Highlands
Archie,Cockerpoo,East Cambridge
Archie,Rat Terrier,Mid-Cambridge
Archie Tyrone,Bichon Frise Mix,North Cambridge
Argos,Boxer,Neighborhood Nine
Argos,English Bulldog,Cambridgeport
Argos,Labrador Retriever Mix,West Cambridge
Arianna,Poodle,West Cambridge
Ariel,Basenji,West Cambridge
Arlo,Retr Mix,Riverside
Arlo,Jindo,Agassiz
Arlo,Golden Retriever,Wellington-Harrington
Arlo,Spanish Water Dog,Cambridgeport
Arly,Shetland Sheepdog,West Cambridge
Armstrong,Chihuahua,East Cambridge
Arrow,Poodle,Cambridgeport
Arthur,Belgian Mix,Neighborhood Nine
Artimiss,Maltese Mix,Cambridgeport
Arwen,English Setter,Cambridgeport
Arya,Poodle,North Cambridge
Arya,Shepherd Mix,Cambridge Highlands
Arya,Samoyed,Cambridgeport
Arya,Border Collie,Cambridge Highlands
Arya,Labrador Retriever,Cambridgeport
Aser,Labrador Retriever,Cambridge Highlands
Ash,Golden Retriever,Neighborhood Nine
Asoka,Chihuahua,Wellington-Harrington
Asterix,Mi-Ki,West Cambridge
Astrid,Saluki,Mid-Cambridge
Astro,Chiuahua Mix,Neighborhood Nine
Astro,Australian Terrier,Neighborhood Nine
Astro Kozberg,Maltese,Cambridgeport
Athena,Maltipoo,Neighborhood Nine
Athena,Shep,The Port
Athena,Pug,Riverside
Athena,Vizsla,North Cambridge
Athena Wozniak,Labrador Retriever,West Cambridge
Atlas,Cavalier King Charles Spaniel,Area 2/MIT
Atlas,Chihuahua,Cambridge Highlands
Atlas,Great Dane,Wellington-Harrington
Atom,Terrier Mix,North Cambridge
Atom,Terrier Mix,North Cambridge
Atom,Miniature Schnauzer,Neighborhood Nine
Atticus,Miniature Goldendoodle,Neighborhood Nine
Aube,Portuguese Water Dog,Neighborhood Nine
Aubergine,Coonhound Mix,North Cambridge
Audrey,Border Collie,North Cambridge
Auggie,Wheaton Terrier,Cambridgeport
Augie,Labrador Retriever Mix,West Cambridge
Augustus,Bichon Frise,Agassiz
Au Lait,Bichon Frise,Riverside
Auri,Shep,North Cambridge
Auri,Whippet,Cambridgeport
Austin,Bichon Frise,Neighborhood Nine
Austin,Labradoddle,Neighborhood Nine
Austin,Labradoodle,Neighborhood Nine
Autumn,Labrador Retriever,Mid-Cambridge
Ava,Yorkie Poo,Cambridge Highlands
Ava Maria,Redbone Coonhound,North Cambridge
Avett,Terrier Mix,West Cambridge
Avie,Feist,North Cambridge
Axel,Mountain Cur Mix,Neighborhood Nine
Axel,,North Cambridge
Ayanna,Pomeranian,Cambridge Highlands
Ayla,Aussie Mix,East Cambridge
Ayler,German Shepherd,Neighborhood Nine
Azula,Doberman,West Cambridge
Azulita,Weimaraner Mix,East Cambridge
Azure,Chihuahua,North Cambridge
Babette,Miniature Bull Terrier,East Cambridge
Baby,Chihuahua Dachsund Mix,Wellington-Harrington
Baby,Pekingese,Wellington-Harrington
Baby,Bedlington Terr,West Cambridge
Baby Horace,Shih Tzu Mix,West Cambridge
Baby Renta,Shih - Tzu,Neighborhood Nine
Bacca,Australian Cattle Dog,Neighborhood Nine
Baci,LABRADOR Retriever,West Cambridge
Baci,Labrador Retriever,Mid-Cambridge
Baci,Corgi,West Cambridge
Baeley,Pug,West Cambridge
Bagel,French Bulldog,East Cambridge
Bailey,Puggle,East Cambridge
Bailey,Hound Mix,Strawberry Hill
Bailey,Shep,West Cambridge
Bailey,French Bulldog,East Cambridge
Bailey,Labrador Retriever,West Cambridge
Bailey,Labradoddle,North Cambridge
Bailey,Golden Retriever,Neighborhood Nine
Bailey,Hound,Neighborhood Nine
Bailey,Spaniel Mix,North Cambridge
Bailey,Dachshund,East Cambridge
Bailey,Shih Tzu,Strawberry Hill
Bailey,Terrier,Cambridgeport
Bailey,Samoyed,West Cambridge
Bailey,Labrador Retriever,West Cambridge
Bailey,Boerboel,Mid-Cambridge
Bailey,Yorksire Terrier,North Cambridge
Bailey,Pit Bull,Cambridge Highlands
Bailey,Lhasa Poo,North Cambridge
Bailey,Golden Retriever,North Cambridge
Bailey,Cocker Spaniel,Mid-Cambridge
Bailey,Labrador Retriever,Cambridgeport
Bailey,Chihuahua,Neighborhood Nine
Bailey,Boston Terrier,Cambridgeport
Bailey,Australian Cattle Dog Mix,Cambridgeport
Bailey,Maltese,East Cambridge
Bailey,Golden Retriever,North Cambridge
Bailey Hogan,Hound,Mid-Cambridge
Baldwin,Treeing Walker Coonhound,Cambridgeport
Baloo,LABRADOODLE,East Cambridge
Baloo,Labrador Retriever,North Cambridge
Balou,Border Collie,East Cambridge
