ID#,Name,Breed,Transaction,,
2102,Rocket               ,Poodle Mix,2/7/2017,,
6088,Elska                  ,Other Mixed Breed,8/1/2001,,
33133,                           ,Shepherd Mix,10/1/1991,,
33333,                           ,,1/12/2007,,
33488,                           ,Spaniel Mix,9/1/1992,,
102766,Hype                  ,Pit Bull Mix,2/12/2019,,
110045,Buddha              ,French Bulldog,4/12/2012,,
110264,Hennessy           ,Poodle Mix,8/22/2019,,
110675,Scooter              ,English Cocker Spaniel,9/1/2015,,
110751,Macy May          ,Dachshund,1/24/2013,,
112875,Max                    ,Pug,5/23/2019,,
112984,Lucy                   ,Poodle,9/9/2019,,
123456,                           ,Afghan Hound,5/25/2010,,
150364,Papa Chief         ,Bulldog,3/7/2016,,
474806,Cheyanne          ,Boxer,2/16/2010,,
1100002,Billie                   ,American Staffordshire Terrier,1/4/2011,,
1100003,Charley              ,Bichon Frise,1/14/2011,,
1100004,Sandy                ,Boxer,1/5/2011,,
1100005,Newman            ,Labrador Mix,1/6/2011,,
1100006,Jasmine             ,Labrador Retriever,1/6/2011,,
1100007,Rocko Lopez      ,Jack Russell Terrier,1/7/2011,,
1100008,Rosco                ,American Staffordshire Terrier,10/26/2007,,
1100009,Grunt                  ,American Bulldog,1/7/2011,,
1100010,Bouncer             ,Labrador Mix,1/10/2011,,
1100012,Blue                   ,Bull Terrier,1/14/2011,,
1100013,Tripp                  ,Bull Terrier,1/14/2011,,
1100014,Pepper               ,Cocker Spaniel,1/18/2011,,
1100015,Lulu                    ,Chihuahua,1/19/2011,,
1100016,Sadie                 ,Welsh Corgi,1/20/2011,,
1100017,Leroy                  ,Pit Bull Mix,1/24/2011,,
1100018,Jasper                ,West Highland White Terrier,1/25/2011,,
1100019,Gillian                 ,Scottish Terrier,1/25/2011,,
1100020,Prada                 ,American Pit Bull Terrier,1/28/2011,,
1100021,Charlie               ,Cockapoo,1/28/2011,,
1100023,Napolian Bear    ,Cocker Spaniel,2/10/2011,,
